text,url,n,earlier_date,is_story
NYC launches nuclear attack preparedness PSA 'as threat continues to evolve'...,https://www.audacy.com/1010wins/news/local/video-nyc-launches-nuclear-attack-preparedness-psa,2,2022-07-11,True
NYC launches nuke attack preparedness PSA 'as threat continues to evolve'...,https://www.audacy.com/1010wins/news/local/video-nyc-launches-nuclear-attack-preparedness-psa,1,2022-07-12,True
NYC moving migrants into famed luxury Times Square hotel...,https://nypost.com/2022/08/15/row-nyc-hotel-being-turned-into-migrant-shelter/,2,2022-08-15,True
NYC neighborhoods top 25% positivity ...,https://www.nbcnewyork.com/news/coronavirus/nyc-neighborhoods-top-25-covid-positivity-as-new-cases-surge-again/3764698/,3,2022-07-07,True
NYC opening mass vaccination sites for Monkeypox...,https://www.fox5ny.com/news/nyc-monkeypox-new-vaccination-sites-opening,1,2022-07-16,True
NYC opening mass vax sites for Monkeypox...,https://www.fox5ny.com/news/nyc-monkeypox-new-vaccination-sites-opening,4,2022-07-16,True
NYC opening mass vax sites...,https://www.fox5ny.com/news/nyc-monkeypox-new-vaccination-sites-opening,1,2022-07-17,True
NYC state of emergency...,https://www.fox5ny.com/news/nyc-declares-monkeypox-state-of-emergency,1,2022-08-01,True
NYC to offer  vax as outbreak expands...,https://www.nbcnewyork.com/news/local/nyc-to-offer-monkeypox-vaccine-as-outbreak-expands/3746454/,4,2022-06-24,True
NYC to offer monkeypox vax as outbreak expands...,https://www.nbcnewyork.com/news/local/nyc-to-offer-monkeypox-vaccine-as-outbreak-expands/3746454/,3,2022-06-23,True
"NYC, LA next...",https://www.msn.com/en-us/news/us/protest-latest-nyc-la-rallies-planned-after-abortion-ruling/ar-AAYPKzf,3,2022-06-24,True
"NYPD Posing as AMAZON, FEDEX Drivers to Arrest Subway 'Sex Offenders'...",https://www.vice.com/en/article/3adnwb/nypd-is-posing-as-amazon-and-fedex-drivers-to-arrest-sexual-offenders-on-the-subway,2,2022-07-02,True
"NYPD cops on pace to quit, retire in record numbers...",https://nypost.com/2022/06/11/nypd-cops-on-pace-to-quit-retire-in-record-numbers/,1,2022-06-12,True
NYPOST:  Republicans should leave Trump -- and obsessed Dems -- behind...,https://nypost.com/2022/06/10/trump-and-dems-remain-obsessed-with-2020-republicans-should-look-to-the-future-instead/,1,2022-06-10,True
NYPOST:  THE DON UNWORTHY...,https://nypost.com/2022/07/22/trumps-jan-6-silence-renders-him-unworthy-for-2024-reelection/,3,2022-07-24,True
NYT POLL: 64% of Dems Don't Want Biden in '24!,https://www.msn.com/en-us/news/politics/biden-s-approval-hits-33-percent-democrats-want-2024-options-poll-shows/ar-AAZrdFj,1,2022-07-12,True
"NYT POLL: 64% of Dems Don't Want Biden in '24!
STILL Leads Trump...",https://www.msn.com/en-us/news/politics/biden-s-approval-hits-33-percent-democrats-want-2024-options-poll-shows/ar-AAZrdFj,1,2022-07-12,True
"NYT POLL: 64% of Dems Don't Want Him in '24!
STILL Leads Trump...",https://www.msn.com/en-us/news/politics/biden-s-approval-hits-33-percent-democrats-want-2024-options-poll-shows/ar-AAZrdFj,1,2022-07-11,True
NYT demands criminal prosecution...,https://www.foxnews.com/media/ny-times-demands-criminal-prosecution-donald-trump-despite-risks-greatest-crisis-since-civil-war,6,2022-08-26,True
NYT employees fume as pay-hike discussions stalls...,https://nypost.com/2022/08/02/new-york-times-employees-very-angry-over-stalled-pay-discussions/,1,2022-08-03,True
NYT:   Life as Victim of Jan. 6 Conspiracy Theory...,https://dnyuz.com/2022/07/13/its-just-been-hell-life-as-the-victim-of-a-jan-6-conspiracy-theory/,1,2022-07-14,True
"NYT:  Despite Growing Evidence, Prosecution Would Face Challenges...",https://dnyuz.com/2022/06/18/despite-growing-evidence-a-prosecution-of-trump-would-face-challenges/,3,2022-06-19,True
"NYT:  Despite Growing Evidence, Prosecution of Trump Would Face Challenges...",https://dnyuz.com/2022/06/18/despite-growing-evidence-a-prosecution-of-trump-would-face-challenges/,1,2022-06-19,True
NYT:  Infighting Overshadows Big Plans at WASH POST...,https://dnyuz.com/2022/06/17/infighting-overshadows-big-plans-at-the-washington-post/,10,2022-06-17,True
"NYT:  Murdoch, Hall Divorcing...",https://dnyuz.com/2022/06/22/rupert-murdoch-and-jerry-hall-are-said-to-be-divorcing/,2,2022-06-23,True
NYT:  Prosecution Would Face Challenges...,https://dnyuz.com/2022/06/18/despite-growing-evidence-a-prosecution-of-trump-would-face-challenges/,5,2022-06-20,True
NYT:  Trump Had More Than 300 Classified Documents Hidden In Florida... Developing...,https://dnyuz.com/2022/08/22/trump-had-more-than-300-classified-documents-at-mar-a-lago/,1,2022-08-23,True
NYT: The Don Eyes Early Announcement as Capitol Riot Scrutiny Intensifies...,https://dnyuz.com/2022/07/01/trump-eyes-early-2024-announcement-as-jan-6-scrutiny-intensifies/,4,2022-07-03,True
NYT: Trump Eyes Early 2024 Announcement as Capitol Riot Scrutiny Intensifies...,https://dnyuz.com/2022/07/01/trump-eyes-early-2024-announcement-as-jan-6-scrutiny-intensifies/,1,2022-07-02,True
NYT: Trump Eyes Early Announcement...,https://dnyuz.com/2022/07/01/trump-eyes-early-2024-announcement-as-jan-6-scrutiny-intensifies/,5,2022-07-04,True
NYT: Trump Publicly Credits God for Decision Privately Calls 'Bad'...,https://www.nytimes.com/2022/06/24/us/trump-roe-wade-republicans.html,3,2022-06-24,True
NYTIMES editor wanted Schumer to OK op-ed by Republican Senator...,https://nypost.com/2022/08/11/bari-weiss-new-york-times-editor-wanted-schumer-to-ok-tim-scott-op-ed/,2,2022-08-11,True
NYTIMES employees 'very angry' as pay-hike discussions stalls...,https://nypost.com/2022/08/02/new-york-times-employees-very-angry-over-stalled-pay-discussions/,1,2022-08-02,True
Nagasaki mayor warns of 'crisis' on atom bomb anniversary...,https://www.france24.com/en/live-news/20220809-nagasaki-mayor-warns-of-crisis-on-atom-bomb-anniversary,2,2022-08-09,True
Naked 75-Year-Old Shoots Exhibitionist Dead for Nude Beach Etiquette Breach...,https://www.thedailybeast.com/geriatric-nudist-fatally-shoots-46-year-old-exhibitionist,4,2022-07-25,True
"Naked man in Hollywood dances atop patrol SUV, shatters rear window...",https://www.audacy.com/knxnews/news/local/naked-man-in-hollywood-dances-atop-patrol-suv,4,2022-06-19,True
"Names 20 new cardinals, further molding church in his image...",https://news.yahoo.com/pope-names-cardinals-putting-stamp-115053323.html,6,2022-08-28,True
Nantucket Estate Asking $56 Million Could Set Record...,https://www.wsj.com/articles/a-nantucket-estate-asking-56-million-could-set-a-record-11656680597,3,2022-07-01,True
Narco riots target civilians and companies in Mexico...,https://www.arcamax.com/currentnews/newsheadlines/s-2715280,1,2022-08-21,True
"Narco riots target civilians, companies in Mexico...",https://www.arcamax.com/currentnews/newsheadlines/s-2715280,2,2022-08-21,True
Nation braces for miserable travel weekend as canceled flights stack up...,https://thehill.com/blogs/blog-briefing-room/news/3540590-nation-braces-for-miserable-travel-weekend-as-canceled-flights-stack-up/,4,2022-06-29,True
Nation reels after assassination of Abe...,https://www.msn.com/en-us/news/world/japan-reels-after-assassination-of-shinzo-abe-as-investigation-into-gunman-security-begins/ar-AAZlnbL,3,2022-07-10,True
Nation where 'faceprint' already tracked...,https://www.bbc.com/future/article/20220616-the-nation-where-your-faceprint-is-already-being-tracked,7,2022-06-25,True
Nation's most sweeping law to phase out single-use plastics approved in CA...,https://phys.org/news/2022-06-nation-law-phase-single-use-plastics.html,3,2022-07-01,True
National Archives hit with threats...,https://www.axios.com/2022/08/28/national-archives-trump-search-threat,4,2022-08-28,True
National emergency declared...,https://www.nbcnews.com/news/world/britain-declares-national-emergency-record-breaking-heat-wave-sweeps-e-rcna38543,1,2022-07-17,True
"National interest in DeSantis surges, sparking new round of presidential buzz...",https://www.mcclatchydc.com/article263496128.html,4,2022-07-15,True
National security adviser covid positive -- NOT close contact of president...,https://www.politico.com/news/2022/06/18/national-security-adviser-jake-sullivan-tests-positive-covid-00040713,4,2022-06-19,True
Nationalists Offer Rare Criticism of Kremlin War Effort...,https://www.wsj.com/articles/in-russia-far-right-nationalists-offer-rare-criticism-of-kremlins-war-effort-11660987801,2,2022-08-20,True
Nationalists Offer Rare Criticism of Kremlin...,https://www.wsj.com/articles/in-russia-far-right-nationalists-offer-rare-criticism-of-kremlins-war-effort-11660987801,1,2022-08-21,True
Nationalists Offer Rare Criticism...,https://www.wsj.com/articles/in-russia-far-right-nationalists-offer-rare-criticism-of-kremlins-war-effort-11660987801,2,2022-08-21,True
"Nature can affect human well-being in MANY ways...
More critical connections than think...",https://www.msn.com/en-us/weather/topstories/nature-can-affect-human-well-being-in-many-more-ways-than-you-think/ar-AA10lNgY,6,2022-08-06,True
Nature-Seeking Home Buyers Answering Call of Wild -- And Paying Premium For It...,https://www.wsj.com/articles/homes-that-are-close-to-nature-11655923899,3,2022-06-23,True
Navalny moved to torture prison?,https://www.dailystar.co.uk/news/world-news/putin-critic-navalny-moved-russian-27231123,1,2022-06-14,True
Navalny placed in isolation...,https://news.yahoo.com/russian-dissident-alexey-navalny-placed-in-isolation-171443292.html,3,2022-08-15,True
Navarro Tells Judge He Needs Time to Promote Book...,https://www.msn.com/en-us/news/politics/trump-aide-navarro-tells-judge-he-needs-time-to-promote-his-book/ar-AAYAoTY,1,2022-06-17,True
Navarro indicted for contempt...,https://www.cnbc.com/2022/06/03/former-trump-aide-peter-navarro-indicted-for-contempt-of-congress-in-defying-jan-6-capitol-probe-subpoena.html,1,2022-06-04,True
Navy Holding Climate Change Wargame...,https://news.usni.org/2022/06/21/navy-holding-climate-change-wargame,2,2022-06-22,True
Navy fires dozen leaders but won't say why...,https://www.nbcnews.com/news/us-news/navy-fired-dozen-leaders-wont-explain-rcna33988,10,2022-06-17,True
Navy orders 'safety pause' after back-to-back SoCal crashes...,https://www.nbcnews.com/news/us-news/navy-orders-safety-pause-back-back-southern-california-crashes-rcna33137,1,2022-06-12,True
"Near total ban with no rape, incest exceptions advances in SC...",https://www.thestate.com/news/politics-government/article264525551.html,4,2022-08-17,True
"Nearly 100 have been hospitalized, but DAILY HARVEST still doesn't know what's making people sick...",https://www.nbcnews.com/news/us-news/daily-harvest-hospitalizations-hit-nearly-100-hundreds-became-ill-fda-rcna38489,6,2022-07-16,True
Necessary or excessive? Debate intensifies over mask rule for LA County...,https://www.msn.com/en-us/news/us/necessary-or-excessive-debate-intensifies-over-potential-mask-rule-for-la-county/ar-AA102dZc,1,2022-07-28,True
Necessary or excessive? Debate intensifies over mask rule for LA...,https://www.msn.com/en-us/news/us/necessary-or-excessive-debate-intensifies-over-potential-mask-rule-for-la-county/ar-AA102dZc,1,2022-07-28,True
Negative Covid Test Has Never Been So Meaningless...,https://www.theatlantic.com/health/archive/2022/06/is-my-negative-covid-test-accurate/661242/,1,2022-06-12,True
Neighbors just knew him as 'Tim.' He turned out to be most wanted man...,https://www.sfgate.com/sfhistory/article/mysterious-disappearance-of-william-hughes-17351393.php,2,2022-08-09,True
Neo-Nazi Leader Arrested in Boston After Protesting LGBTQ Event...,https://www.wgbh.org/news/local-news/2022/07/23/neo-nazi-leader-arrested-in-boston-after-protesting-lgbtq-event,4,2022-07-24,True
"Nervous Nation: Half Believe They're In Danger Every Day...
3 In 4 Young Adults Live In Fear...",https://www.studyfinds.org/fear-for-safety-every-day/,3,2022-07-26,True
Netanyahu Defamation Trial Begins: 'No Psychiatric History'...,https://www.jpost.com/israel-news/article-709185,1,2022-06-12,True
Netanyahu vows comeback...,https://www.jpost.com/israel-elections/article-709919,5,2022-06-20,True
Netanyahu vs. Olmert: Lurid Libel Case Grips Israel...,https://dnyuz.com/2022/06/13/netanyahu-vs-olmert-a-lurid-libel-case-grips-israel/,1,2022-06-14,True
Netherlands cancels plans to dismantle bridge for Bezos megayacht...,https://www.washingtonexaminer.com/news/rotterdam-bridge-cancels-plan-super-yacht,3,2022-07-03,True
Nevada Turning Red?,https://dnyuz.com/2022/06/13/is-nevada-turning-red/,1,2022-06-14,True
"New  subvariants escape antibodies from jab, prior infection...",https://www.cnn.com/2022/06/22/health/ba4-ba5-escape-antibodies-covid-vaccine/index.html,2,2022-06-23,True
New Algorithm Can Predict Crime in Cities Week Before Happens?,https://phys.org/news/2022-06-algorithm-crime-week-advance-reveals.html,2,2022-07-01,True
New Algorithm Can Predict Crime in Cities a Week Before It Happens!,https://phys.org/news/2022-06-algorithm-crime-week-advance-reveals.html,1,2022-07-01,True
New CNN Boss Seeks to Create Less Divisive Network...,https://www.msn.com/en-us/money/markets/new-cnn-boss-seeks-to-create-a-less-divisive-news-network/ar-AAYA6QX,4,2022-06-18,True
New CNN Boss Seeks to Create Less Divisive News Network...,https://www.bnnbloomberg.ca/new-cnn-boss-seeks-to-create-a-less-divisive-news-network-1.1780244,1,2022-06-17,True
New CNN Boss Seeks to Create Less Divisive News Network...,https://www.msn.com/en-us/money/markets/new-cnn-boss-seeks-to-create-a-less-divisive-news-network/ar-AAYA6QX,2,2022-06-17,True
New Car Threat to National Security?,https://www.wired.com/story/china-cars-surveillance-national-security/,2,2022-07-02,True
"New DISNEY park tour costs $110,000 --  includes private jet and chef!",https://deadline.com/2022/06/disney-travel-package-twelve-parks-jet-110000-dollars-1235045464/,1,2022-06-15,True
New Data Suggests Fundamental Model of Universe Is Wrong...,https://dnyuz.com/2022/08/08/new-data-suggests-our-fundamental-model-of-the-universe-is-wrong-and-scientists-are-racing-to-solve-it/,3,2022-08-08,True
"New Dem star calls Trump 'Traitorous'...
'If I Had Done What He Did, I Would've Been in Jail'...",https://www.mediaite.com/tv/congressman-elect-deems-trump-essentially-traitorous-says-if-i-had-done-what-he-did-i-wouldve-been-in-jail/,3,2022-08-25,True
New Doc: VICTORIA'S SECRET boss was 'pimple on NY's backside' until Jeffrey Epstein...,https://nypost.com/2022/07/14/victorias-secret-owner-enchanted-by-jeffrey-epstein-hulu-doc/,1,2022-07-15,True
New Hampshire Libertarian Party mocks Holocaust...,https://www.jpost.com/diaspora/antisemitism/article-715795,3,2022-08-29,True
New Jan. 6 Trump documentary footage revealed...,https://www.politico.com/news/2022/07/05/trailer-trump-documentary-january-6-committee-holder-00043960,2,2022-07-05,True
New Mexico man accused of trying to create ISIS 'safe haven'...,https://www.axios.com/2022/08/27/isis-new-mexico-arrest-fbi,3,2022-08-28,True
New Orleans battled mass incarceration. Now backlash over violent crime...,https://www.nbcnews.com/news/us-news/new-orleans-criminal-justice-reform-violent-crime-rcna36374,2,2022-07-10,True
New Pompeii finds highlight middle-class life in doomed city...,https://apnews.com/article/science-italy-39ee525c2fa6e01513a59ef8638d1600,5,2022-08-06,True
New Weaponry Subtly Shifting War Strategy...,https://dnyuz.com/2022/08/13/with-new-weaponry-ukraine-is-subtly-shifting-its-war-strategy/,2,2022-08-14,True
New York asks WHO to re-name 'stigmatizing' monkeypox...,https://yen.com.gh/world/212089-new-york-asks-stigmatizing-monkeypox/,1,2022-07-27,True
New York patient paralysed by polio...,ttps://www.mirror.co.uk/news/health/breaking-kids-under-10-offered-27704790,1,2022-08-10,True
New York patient paralysed...,https://www.mirror.co.uk/news/health/breaking-kids-under-10-offered-27704790,2,2022-08-11,True
New York stresses monkeypox vaccine 'urgency' as cases rise...,https://www.france24.com/en/live-news/20220713-new-york-stresses-monkeypox-vaccine-urgency-as-cases-rise,1,2022-07-14,True
New algorithm can track mental health through skin...,https://thehill.com/changing-america/well-being/medical-advances/3603133-new-algorithm-can-track-mental-health-through-skin/,3,2022-08-16,True
New crypto oversight legislation arrives as industry shakes...,https://apnews.com/article/cryptocurrency-technology-health-congress-1f90a144e449e5e80858661c741557f8,3,2022-08-04,True
New doc unearths troubling links between VICTORIA'S SECRET and Epstein...,https://www.cnn.com/style/article/victorias-secret-documentary-matt-tyrnauer-culture-queue/index.html,4,2022-07-15,True
New era for funding on both sides of abortion debate...,https://apnews.com/article/abortion-philanthropy-judiciary-f03d6df59a354544c764e00b700ae6ca,3,2022-07-04,True
New internal docs could bolster antitrust case against GOOGLE...,https://www.politico.com/news/2022/07/19/documents-antitrust-case-google-amazon-00046522,2,2022-07-20,True
New reality show wants to leak your sex tape -- then review it...,https://nypost.com/2022/08/18/new-show-good-sex-wants-to-leak-your-sex-tape-and-review-it/,2,2022-08-19,True
New study suggests covid increases risks of brain disorders...,https://news.yahoo.com/study-suggests-covid-increases-risks-204156621.html,7,2022-08-20,True
New subvariants escape antibodies...,https://www.cnn.com/2022/06/22/health/ba4-ba5-escape-antibodies-covid-vaccine/index.html,1,2022-06-24,True
New superbug found in pigs can jump to humans...,https://www.news.com.au/lifestyle/health/health-problems/new-superbug-found-in-pigs-can-jump-to-humans/news-story/91e1f67590adbadb8c8f588e3043365d,8,2022-06-29,True
New symptoms making harder to recognize...,https://www.moneyweb.co.za/news/international/new-monkeypox-symptoms-are-making-cases-harder-to-recognise/,9,2022-07-22,True
New variant 'Centaurus' detected...,https://www.the-sun.com/health/5814174/new-covid-variant-centaurus-detected-uk/,4,2022-07-19,True
New virus mutant raises concerns around world...,https://medicalxpress.com/news/2022-07-coronavirus-mutant-india.html,4,2022-07-11,True
"New, powerful signal Dems' midterm hopes aren't lost...",https://www.politico.com/news/2022/08/16/democrats-midterms-hopes-washington-00052049,1,2022-08-16,True
News engagement plummets as Americans tune out...,https://www.axios.com/2022/07/12/news-media-readership-ratings-2022,3,2022-07-12,True
Newsom Escalates Republican Jabs to Build National Profile...,https://finance.yahoo.com/news/california-newsom-escalates-gop-jabs-140002856.html,3,2022-08-12,True
Newsom Pokes the Republican Bear...,https://dnyuz.com/2022/06/21/gavin-newsom-pokes-the-g-o-p-bear/,2,2022-06-22,True
Newsom Presses Hollywood to Film in California After Roe Reversal...,https://www.hollywoodreporter.com/business/business-news/california-tax-credit-anti-abortion-states-1235192055/,1,2022-08-04,True
"Newsom Runs Ads in Texas, Escalating Republican Jabs...",https://www.msn.com/en-us/news/politics/california-s-newsom-runs-ads-in-texas-escalating-gop-jabs/ar-AAZRhRR,1,2022-07-23,True
"Newsom Wants Dems to Fight Fire With Fire, Starting With Gun Bill...",https://dnyuz.com/2022/07/22/newsom-wants-democrats-to-fight-fire-with-fire-starting-with-a-gun-bill/,2,2022-07-22,True
Newsom Wants More Aggressive Dem Party...,https://www.theatlantic.com/politics/archive/2022/06/gavin-newsom-california-democratic-party/661313/,4,2022-06-18,True
Newsom Wants More Aggressive Party...,https://www.theatlantic.com/politics/archive/2022/06/gavin-newsom-california-democratic-party/661313/,5,2022-06-18,True
Newsom fantasy grows...,https://www.sfgate.com/politics/article/The-Atlantic-dreams-about-Newsom-replacing-Biden-17249234.php,11,2022-06-19,True
Newsom joins 'TRUTH' to call out lies...,https://thehill.com/policy/technology/3526926-newsom-joins-trumps-truth-social-to-call-out-republican-lies/,2,2022-06-17,True
Newsom joins 'Truth Social' to call out lies...,https://thehill.com/policy/technology/3526926-newsom-joins-trumps-truth-social-to-call-out-republican-lies/,2,2022-06-17,True
Newsom jump-starts 2024 campaign...,https://www.cnn.com/2022/07/06/politics/gavin-newsom-2024-campaign/index.html,2,2022-07-07,True
Newsom just jump-started 2024 campaign...,https://www.cnn.com/2022/07/06/politics/gavin-newsom-2024-campaign/index.html,1,2022-07-07,True
Newsom plan to 'save Constitution' by trolling Supreme Court...,https://www.vox.com/2022/7/25/23277211/supreme-court-gavin-newsom-sb-8-abortion-guns-california-assault-rifle-law,2,2022-07-25,True
Newsom punches Republicans to Dem applause...,https://thehill.com/homenews/campaign/3549453-gavin-newsom-punches-gop-to-democratic-applause/,4,2022-07-08,True
Newsom reveals motivation behind Florida ad targeting DeSantis...,https://kdhnews.com/news/politics/gavin-newsom-reveals-the-motivation-behind-his-florida-ad-targeting-ron-desantis/article_adab3a9f-9c33-5fa9-b26c-a6ac935766eb.html,2,2022-07-18,True
Newsom reveals motivation behind Florida ads...,https://kdhnews.com/news/politics/gavin-newsom-reveals-the-motivation-behind-his-florida-ad-targeting-ron-desantis/article_adab3a9f-9c33-5fa9-b26c-a6ac935766eb.html,1,2022-07-19,True
Newsom seizes moment...,https://www.yahoo.com/now/blue-red-states-fight-over-120022896.html,3,2022-06-26,True
"Newsom slams red state govs on DC trip, stoking speculation about his future...",https://www.msn.com/en-us/news/politics/newsom-slams-red-state-governors-on-dc-trip-stoking-speculation-about-his-future/ar-AAZzgLo,4,2022-07-14,True
"Newsom vs. Florida continues, this time over unemployment rates...",https://www.hastingstribune.com/ap/health/gavin-newsom-vs-florida-continues-this-time-over-unemployment-rates/article_75b5a72c-3174-5749-bb05-c67584cdbee4.html,4,2022-07-23,True
Newsom won big in California. Could he be president?,https://www.msn.com/en-us/news/politics/gov-gavin-newsom-wins-big-in-california-could-he-be-president/ar-AAYgUlw,1,2022-06-10,True
Newsom won big. Could he be president?,https://www.msn.com/en-us/news/politics/gov-gavin-newsom-wins-big-in-california-could-he-be-president/ar-AAYgUlw,1,2022-06-11,True
"Newsom's jabs continue, this time over unemployment rates...",https://www.hastingstribune.com/ap/health/gavin-newsom-vs-florida-continues-this-time-over-unemployment-rates/article_75b5a72c-3174-5749-bb05-c67584cdbee4.html,2,2022-07-24,True
Newspaper apologizes to Rebel Wilson over plans to out her relationship... ,https://www.msn.com/en-us/news/us/newspaper-apologizes-to-rebel-wilson-over-plans-to-out-her-relationship/ar-AAYoxdR?ocid=uxbndlbing,1,2022-06-13,True
Newspapers Continuing to Die --  at Rate of 2 Each Week!,https://apnews.com/article/journalism-united-states-39ef84c1131267233768bbb4dcaa181b,1,2022-07-01,True
Newspapers Continuing to Die at Rate of 2 Each Week...,https://apnews.com/article/journalism-united-states-39ef84c1131267233768bbb4dcaa181b,1,2022-06-30,True
Next big fight looms over pills...,https://thehill.com/policy/healthcare/3536457-next-big-fight-looms-over-abortion-pills/,4,2022-06-25,True
Next mission: Keeping anti-Trump megaphone...,https://www.politico.com/news/2022/08/15/liz-cheney-wyoming-jan-6-primary-00051619,2,2022-08-15,True
Next phase could be bigger hit...,https://www.statesman.com/story/news/local/2022/08/04/alex-jones-trial-jury-deliberations-underway-in-sandy-hook-case/65391779007/,3,2022-08-04,True
Nicaragua Silences Last Outspoken Critics: Catholic Priests...,https://dnyuz.com/2022/08/23/nicaragua-silences-its-last-outspoken-critics-catholic-priests/,2,2022-08-23,True
Nicaragua police accuse Catholic Church of attempting to destabilize govt...,https://uk.news.yahoo.com/nicaragua-police-accuse-catholic-church-013842911.html,6,2022-08-06,True
"Nicaraguan police detain Catholic bishop, other priests in raid...",https://www.pbs.org/newshour/world/nicaraguan-police-detain-catholic-bishop-other-priests-in-raid,6,2022-08-20,True
Nightclub bans staring without getting 'verbal consent'...,https://www.the-sun.com/news/6072174/nightclub-bans-staring-without-getting-verbal-consent/,4,2022-08-25,True
No Longer Wants to 'Be Related' to Him...,https://www.tmz.com/2022/06/20/elon-musk-daughter-name-change-transgender-court-filing/,1,2022-06-20,True
No Longer Wants to Be Related to Him...,https://www.tmz.com/2022/06/20/elon-musk-daughter-name-change-transgender-court-filing/,4,2022-06-21,True
No More Pet Store Puppies? NY May Finally Ban Sales...,https://dnyuz.com/2022/07/24/no-more-pet-store-puppies-new-york-may-finally-ban-sales/,2,2022-07-24,True
"No experience, no resume, you're hired! Hotels fight for staff...",https://news.yahoo.com/no-experience-no-resume-youre-060900849.html,7,2022-07-04,True
No nukes? War will shape globe's arsenals...,https://apnews.com/article/russia-ukraine-middle-east-africa-south-korea-persian-gulf-tensions-8c6bd3929ee3fe407ea9627168fc6132,4,2022-06-21,True
Nobody likes self-checkout. Why it's everywhere...,https://www.cnn.com/2022/07/09/business/self-checkout-retail/index.html,2,2022-07-10,True
Nonstop sex and 4 a.m. parties: Parents go wild with kids at camp...,https://nypost.com/2022/07/19/parents-go-wild-with-nonstop-sex-and-parties-with-kids-at-camp/,2,2022-07-19,True
Norman Lear Celebrates Turning 100!,https://www.showbiz411.com/2022/07/26/norman-lear-celebrates-turning-100-advises-live-in-the-moment-treasure-it-use-it-with-love,2,2022-07-27,True
Norman: Tiger Woods turned down LIV Golf's $700 million million offer...,https://nypost.com/2022/08/01/tiger-woods-rejected-700-million-800-million-liv-golf-offer-norman/,2,2022-08-02,True
North Carolina Lt. Gov. backs off call to stop teaching science in school...,https://www.newsobserver.com/news/politics-government/article264827384.html,1,2022-08-25,True
Northeast USA enjoying blissfully mild summer as Plains and South bake... ,https://www.msn.com/en-us/weather/topstories/northeast-enjoys-blissfully-mild-summer-as-plains-and-south-bake/ar-AAZFHDF,3,2022-07-18,True
Northwest next in line...,https://www.accuweather.com/en/weather-forecasts/northwest-next-in-line-to-face-blistering-heat/1220304,2,2022-07-22,True
Northwest next...,https://www.accuweather.com/en/weather-forecasts/northwest-next-in-line-to-face-blistering-heat/1220304,5,2022-07-23,True
Not Just for Birds: Avian Flu Felling Wild Mammals...,https://dnyuz.com/2022/06/18/not-just-for-the-birds-avian-influenza-is-also-felling-wild-mammals/,11,2022-06-18,True
Not going to look at ratings...,https://www.bloomberg.com/news/articles/2022-07-05/warner-bros-ceo-zaslav-chats-netflix-cnn-at-sun-valley,4,2022-07-06,True
Not just Hunter: Prepare for Republican investigations...,https://www.politico.com/news/2022/07/19/hunter-biden-gop-2023-00046419,2,2022-07-19,True
"Nothing on Horizon to Rival Dollar's Status, Fed Study Finds...",https://finance.yahoo.com/news/nothing-horizon-rival-dollar-status-131852935.html,1,2022-07-06,True
"Nothing to Rival Dollar Status, Fed Study Finds...",https://finance.yahoo.com/news/nothing-horizon-rival-dollar-status-131852935.html,1,2022-07-06,True
Notorious 'Global Terror' Boss Escapes in Mass Prison Break...,https://www.msn.com/en-us/news/world/notorious-global-terror-boss-escaped-in-mass-prison-break-jail-officials-say/ar-AAZkgE4,3,2022-07-08,True
Now 'shuffles'; Staffers fear he'll trip...,https://www.dailymail.co.uk/news/article-10999631/NY-Times-suggests-Joe-Biden-79-old-run-election.html,4,2022-07-10,True
Now Clarence wants to make it easier to sue media for libel...,https://www.mediaite.com/news/clarence-thomas-argues-for-revisiting-actual-malice-standard-that-would-make-it-easier-to-sue-media-for-defamation/,2,2022-06-28,True
Now FACEBOOK starts lay offs...,https://www.dailymail.co.uk/news/article-11125091/Now-Meta-starts-laying-workers-Facebook-lays-60-contractors-told-conference.html,2,2022-08-18,True
Now Peanut Butter in Short Supply...,https://www.breitbart.com/politics/2022/06/17/bidens-america-sriracha-peanut-butter-latest-items-short-supply/,9,2022-06-18,True
Now on the tee for LIV Golf: Trump National and polarizing former president...,https://www.msn.com/en-us/sports/golf/now-on-the-tee-for-liv-golf-trump-national-and-the-polarizing-former-president/ar-AA100wzb,1,2022-07-27,True
"Now, tampon shortage...",https://www.axios.com/2022/06/11/tampon-menstrual-pad-shortage-june-2022,2,2022-06-11,True
"Nuclear war would trigger new Ice Age, study warns...
Crop failure, ocean famine...",https://www.dailymail.co.uk/sciencetech/article-10991079/Nuclear-war-trigger-new-Ice-Age-study-warns.html,2,2022-07-07,True
Nuke Drill 'To Prepare For All Scenarios'...,https://timesofindia.indiatimes.com/world/europe/nuclear-drill-in-ukraine-to-prepare-for-all-scenarios/articleshow/93635636.cms,3,2022-08-18,True
Nuke Plant Held Hostage...,https://dnyuz.com/2022/08/23/in-ukraine-a-nuclear-plant-held-hostage/,3,2022-08-23,True
Nuke Plants Struggling to Stay Cool...,https://www.wired.com/story/nuclear-power-plants-struggling-to-stay-cool/,1,2022-07-22,True
Nuke woes stoke Europe's power prices...,https://www.msn.com/en-gb/money/other/french-nuclear-woes-stoke-europes-power-prices/ar-AA113zDD,1,2022-08-24,True
Number Of Healthy-Weight Children Going On Diets Has TRIPLED...,https://www.studyfinds.org/healthy-weight-children-dieting/,1,2022-08-09,True
Number of lonely men on rise...,https://www.dailymail.co.uk/femail/article-11112791/Number-lonely-single-men-rise-says-psychologist.html,3,2022-08-15,True
